地名,センター,燃やすごみ,燃やさないごみ,資源,びん,ぷら,紙,ぺっと
愛宕,富山市環境センター,月 木,水1 水3,水1 水3,金1 金3,金1 金2 金3 金4,金1,*2 月 火 水 木 金 土 日
朝日,富山市環境センター,月 木,水2 水4,水1 水3,水1 水3,火1 火2 火3 火4,火4,*2 月 火 水 木 金 土 日
岩瀬,富山市環境センター,月 木,水2 水4,水2 水4,火1 火3,火1 火2 火3 火4,火1,*2 月 火 水 木 金 土 日
池多,富山市環境センター,火 金,水1 水3,水1 水3,月2 月4,月1 月2 月3 月4,月4,*2 月 火 水 木 金 土 日
稲代,富山市環境センター,月 木,金1 金3,水1 水3,水1 水3,火1 火2 火3 火4,水4,火1 火2 火3 火4
岩木,富山市環境センター,火 金,月1 月3,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
岩木新,富山市環境センター,火 金,月1 月3,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
牛ヶ増,富山市環境センター,月 木,金1 金3,水1 水3,水1 水3,火1 火2 火3 火4,水4,火1 火2 火3 火4
卯花地区(角間・梅苑町),富山市環境センター,月 木,水1 水3,水2 水4,水2 水4,水1 水2 水3 水4,水3,水1 水3
卯花地区(角間・梅苑町を除く),富山市環境センター,火 金,火1 火3,金2 金4,火2 火4,火1 火2 火3 火4,金1,金1 金3
鵜坂,富山市環境センター,火 金,水1 水3,水2 水4,水2 水4,木1 木2 木3 木4,木2,*2 月 火 水 木 金 土 日
大広田,富山市環境センター,月 木,水2 水4,水2 水4,火1 火3,火1 火2 火3 火4,火1,*2 月 火 水 木 金 土 日
太田,富山市環境センター,月 木,金2 金4,金2 金4,火2 火4,火1 火2 火3 火4,火4,*2 月 火 水 木 金 土 日
奥田,富山市環境センター,火 金,水1 水3,水1 水3,木1 木3,木1 木2 木3 木4,木1,*2 月 火 水 木 金 土 日
奥田北,富山市環境センター,火 金,水1 水3,水1 水3,月2 月4,月1 月2 月3 月4,月4,*2 月 火 水 木 金 土 日
老田,富山市環境センター,火 金,水1 水3,水1 水3,月2 月4,月1 月2 月3 月4,月4,*2 月 火 水 木 金 土 日
大久保新町,富山市環境センター,火 金,木2 木4,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
大山地区,富山市環境センター,月 木,水1 水3,水2 水4,水2 水4,金1 金2 金3 金4,火3,火2 火4
